26026
1             -1             99     1.9200e-05     4.7400e-02     9.9500e-05
2             -1            135     2.0300e-06     1.8800e-02     1.3100e-04
3             -1            164     6.7600e-06     2.5900e-02     1.2900e-04
4             -1            226     1.6700e-05     3.1300e-02     1.4900e-04
5             -1            243     1.1600e-05     6.2500e-02     1.2700e-04
6             -1            263     1.8700e-05     2.2400e-02     1.3000e-04
7             -1            285     7.7500e-06     9.1500e-03     1.5700e-04
8             -1            295     7.0900e-06     1.3900e-02     1.0300e-04
9             -1            305     1.0400e-05     3.4800e-02     1.2900e-04
10             -1            312     1.2000e-06     4.8100e-02     9.4300e-05
11             -1            343     8.8300e-06     1.8600e-02     1.6300e-04
12             -1            376     1.8700e-05     2.2400e-02     1.3000e-04
13             -1            413     5.0000e-06     3.7600e-02     1.3200e-04
14             -1            515     1.1400e-05     4.3100e-02     2.1700e-04
15             -1            559     2.6800e-06     3.1300e-02     7.1400e-05
16             -1            578     1.1800e-05     4.2300e-02     1.2100e-04
17             -1            581     1.9700e-06     4.8100e-02     1.0800e-04
18             -1            596     4.9000e-06     3.9300e-02     5.1000e-05
19             -1            603     8.9200e-06     3.4300e-02     1.6500e-04
20             -1            622     1.1600e-05     6.2500e-02     8.3100e-05
21             -1            679     1.6500e-05     2.9400e-02     6.1600e-05
22             -1            701     6.4400e-06     2.8100e-02     8.1200e-05
23             -1            705     1.8100e-05     2.3800e-02     1.5000e-04
24             -1            743     1.8700e-05     2.2400e-02     1.3000e-04
25             -1            847     1.6500e-05     3.4800e-02     1.7200e-04
26             -1            850     4.1600e-06     6.2500e-02     8.7700e-05
27             -1            860     1.6500e-05     3.3700e-02     1.2900e-04
28             -1            887     8.9200e-06     2.8200e-02     1.1400e-04
29             -1            937     1.2600e-05     3.5100e-02     1.5100e-04
30             -1            947     3.3200e-06     4.6200e-02     2.3100e-04
31             -1           1013     1.2900e-05     7.9500e-02     1.8200e-04
32             -1           1038     1.2200e-06     7.9500e-02     1.5200e-04
33             -1           1043     9.2700e-07     6.2500e-02     6.0000e-05
34             -1           1074     9.1600e-07     3.9400e-02     1.0400e-04
35             -1           1080     1.1800e-06     6.2500e-02     2.1600e-04
36             -1           1105     5.1500e-06     3.1300e-02     1.4200e-04
37             -1           1113     8.5000e-06     2.1600e-02     1.3100e-04
38             -1           1168     8.7200e-06     1.6300e-02     1.0000e-04
39             -1           1273     9.0800e-07     6.2500e-02     1.1400e-04
40             -1           1277     8.9200e-06     2.6600e-02     1.6900e-04
41             -1           1339     1.1100e-05     3.4200e-02     1.8800e-04
42             -1           1360     4.8500e-06     2.9100e-02     1.6500e-04
43             -1           1421     1.3500e-06     1.7000e-02     6.1600e-05
44             -1           1476     6.3700e-06     6.2500e-02     1.4400e-04
45             -1           1516     7.2200e-06     4.2700e-02     2.1900e-04
46             -1           1541     9.3200e-07     7.9500e-02     5.0000e-05
47             -1           1543     7.3100e-06     4.0200e-02     1.6800e-04
48             -1           1557     6.6700e-06     1.3400e-02     1.7400e-04
49             -1           1627     5.0800e-06     2.0300e-02     6.7100e-05
50             -1           1639     1.8700e-05     2.2400e-02     1.3000e-04
51             -1           1679     1.2600e-05     4.7700e-02     2.5800e-04
52             -1           2045     1.4200e-05     3.9800e-02     1.7500e-04
53             -1           2063     4.1600e-06     3.1300e-02     5.3900e-05
